Jugador,Campeon,FechaCreacionPartida,ID,Ganada,TiempoJugado,OroNeto,KDA,CS,DanoTotalCampeones,GuardianesColocados,GuardianesEliminados,ObjetivosTorres,ObjetivosDragones,NivelRecompensa,TiempoMaximoVivo,DanoTotalInfligidoCampeones,Item0,Item1,Item2,Item3,Item4,Item5,Item6,Max CS Advantage on Lane Opponent,Control Wards Placed,Damage per Minute,Damage Taken on Team Percentage,Gold per Minute,Max Level Lead on Lane Opponent,Solo Kills,Solo Turrets Late Game
Furulango,Azir,1702794623112,1468285450,False,41.233333333333334,842,10/8/8,323,36428,14,2,2,0,0,15.216666666666667,36428,Zhonya's Hourglass,Void Staff,Liandry's Anguish,Rabadon's Deathcap,Sorcerer's Shoes,Nashor's Tooth,Farsight Alteration,61.99999997019768,3,883.3018760294733,0.17525615711945638,439.29075871022445,2,4,0
Furulango,Blitzcrank,1702865116207,1468554497,False,32.31666666666667,753,1/9/18,30,10939,20,2,0,0,0,9.333333333333334,10939,Bulwark of the Mountain,Locket of the Iron Solari,Lifewell Pendant,Mercury's Treads,Zeke's Convergence,Crystalline Bracer,Oracle Lens,16.0,2,338.43677832525987,0.1815118596738911,258.43324057777977,1,0,0
Furulango,Renata,1702868436862,1468581692,False,27.433333333333334,1006,4/4/8,8,12245,22,2,1,0,2,5.566666666666666,12245,Radiant Virtue,Shard of True Ice,Objeto desconocido,Ionian Boots of Lucidity,Aether Wisp,Chemtech Putrifier,Oracle Lens,0.0,3,446.1444688310717,0.15738327150898088,285.3110950248571,2,1,0
Furulango,Jax,1702875076078,1468637351,True,32.95,1626,10/3/6,198,22065,13,1,1,0,2,21.783333333333335,22065,Divine Sunderer,Zhonya's Hourglass,Null-Magic Mantle,Objeto desconocido,Spear of Shojin,Plated Steelcaps,Stealth Ward,42.0,3,669.468509451135,0.2541538681450541,396.7315565444361,3,3,1
Furulango,Jax,1702940084262,1468832378,True,40.333333333333336,683,12/5/8,269,27185,15,3,3,0,0,14.95,27185,Maw of Malmortius,Divine Sunderer,Zhonya's Hourglass,Plated Steelcaps,Frozen Heart,Spear of Shojin,Stealth Ward,79.00000002980232,2,673.7301968144473,0.18599991890810805,446.916110330372,2,5,2
Furulango,Renata,1703274766069,1470201001,True,27.15,835,0/4/9,21,5844,25,3,0,0,0,7.483333333333333,5844,Objeto desconocido,Shard of True Ice,Shurelya's Battlesong,Ionian Boots of Lucidity,Amplifying Tome,Chemtech Putrifier,Oracle Lens,9.0,5,215.17446352564633,0.08869248686140459,257.5438482958079,1,0,0
Furulango,Olaf,1703300265351,1470340651,True,33.93333333333333,1487,10/4/9,254,43127,11,1,6,1,0,16.383333333333333,43127,Mercury's Treads,Stridebreaker,Hullbreaker,Sterak's Gage,Ravenous Hydra,Blade of The Ruined King,Oracle Lens,112.00000002980232,4,1270.3885914895477,0.2796248495081206,571.0952047440225,3,8,5
Furulango,Jax,1703303580899,1470366469,False,29.0,968,8/10/5,153,21740,9,1,0,0,0,7.816666666666666,21740,Divine Sunderer,Stopwatch,Spear of Shojin,Seeker's Armguard,Fiendish Codex,Mercury's Treads,Stealth Ward,44.0,1,747.2503922537368,0.22445102809720707,401.91933339361,2,1,0
Furulango,Tryndamere,1703306657816,1470392123,True,32.15,3740,10/6/1,259,31047,12,6,6,0,5,6.2,31047,Objeto desconocido,Stridebreaker,Serylda's Grudge,Hullbreaker,Kraken Slayer,Berserker's Greaves,Stealth Ward,82.00000002980232,2,965.299383191443,0.22217968868933635,546.1288291494772,2,5,1
Furulango,Rumble,1703309105488,1470404892,True,41.15,2831,17/9/6,261,47922,12,2,4,0,0,7.483333333333333,47922,Zhonya's Hourglass,Night Harvester,Void Staff,Demonic Embrace,Rabadon's Deathcap,Sorcerer's Shoes,Oracle Lens,118.70000004768372,2,1164.3875142570885,0.21906695281681576,498.1328719307528,2,6,1
Furulango,Tryndamere,1703349625385,1470487879,True,32.6,2708,17/6/2,299,37070,12,3,7,0,0,10.55,37070,Hullbreaker,Stridebreaker,Berserker's Greaves,Phantom Dancer,Serylda's Grudge,Kraken Slayer,Stealth Ward,107.0,2,1136.7198339254444,0.2697455061288124,605.8587397261327,4,10,3
